;dataset_name;dataset_size;dataset_random_seed;algorithm_name;algorithm_random_seed;time_start;time_stop;time_total
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/lemma_prep-rand_4/;bank_cards_v2;1000;2;lemma_prep;4;1668606162;1668606169;6,87450099
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/lemma_prep-rand_5/;bank_cards_v2;1000;2;lemma_prep;5;1668606162;1668606169;6,762594938
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/simple_prep-rand_1/;bank_cards_v2;1000;2;simple_prep;1;1668606148;1668606155;6,867134809
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/simple_prep-rand_2/;bank_cards_v2;1000;2;simple_prep;2;1668606155;1668606162;6,669579983
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/simple_prep-rand_3/;bank_cards_v2;1000;2;simple_prep;3;1668606155;1668606162;6,735589027
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/simple_prep-rand_4/;bank_cards_v2;1000;2;simple_prep;4;1668606162;1668606168;6,66863513
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/simple_prep-rand_5/;bank_cards_v2;1000;2;simple_prep;5;1668606162;1668606169;6,636718035
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/filter_prep-rand_1/;bank_cards_v2;1000;3;filter_prep;1;1668606168;1668606175;6,826781988
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/filter_prep-rand_2/;bank_cards_v2;1000;3;filter_prep;2;1668606169;1668606175;6,796027899
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/filter_prep-rand_3/;bank_cards_v2;1000;3;filter_prep;3;1668606169;1668606176;6,865716934
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/filter_prep-rand_4/;bank_cards_v2;1000;3;filter_prep;4;1668606175;1668606182;6,850562096
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/filter_prep-rand_5/;bank_cards_v2;1000;3;filter_prep;5;1668606176;1668606183;6,733916044
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/lemma_prep-rand_1/;bank_cards_v2;1000;3;lemma_prep;1;1668606163;1668606169;6,845761061
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/lemma_prep-rand_2/;bank_cards_v2;1000;3;lemma_prep;2;1668606169;1668606175;6,66716814
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/lemma_prep-rand_3/;bank_cards_v2;1000;3;lemma_prep;3;1668606169;1668606176;6,857686043
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/lemma_prep-rand_4/;bank_cards_v2;1000;3;lemma_prep;4;1668606175;1668606182;6,766620874
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/lemma_prep-rand_5/;bank_cards_v2;1000;3;lemma_prep;5;1668606175;1668606182;6,746777058
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/simple_prep-rand_1/;bank_cards_v2;1000;3;simple_prep;1;1668606163;1668606169;6,758592844
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/simple_prep-rand_2/;bank_cards_v2;1000;3;simple_prep;2;1668606169;1668606175;6,677078962
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/simple_prep-rand_3/;bank_cards_v2;1000;3;simple_prep;3;1668606169;1668606176;6,766614914
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/simple_prep-rand_4/;bank_cards_v2;1000;3;simple_prep;4;1668606170;1668606176;6,6489079
../experiments/preprocessing/bank_cards_v2-size_1000-rand_3/simple_prep-rand_5/;bank_cards_v2;1000;3;simple_prep;5;1668606175;1668606182;6,719472885
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/filter_prep-rand_1/;bank_cards_v2;1000;4;filter_prep;1;1668606176;1668606183;6,765305042
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/filter_prep-rand_2/;bank_cards_v2;1000;4;filter_prep;2;1668606182;1668606189;6,823950052
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/filter_prep-rand_3/;bank_cards_v2;1000;4;filter_prep;3;1668606183;1668606190;6,796711922
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/filter_prep-rand_4/;bank_cards_v2;1000;4;filter_prep;4;1668606189;1668606196;6,974257946
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/filter_prep-rand_5/;bank_cards_v2;1000;4;filter_prep;5;1668606189;1668606196;6,711477041
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/lemma_prep-rand_1/;bank_cards_v2;1000;4;lemma_prep;1;1668606176;1668606183;6,790092945
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/lemma_prep-rand_2/;bank_cards_v2;1000;4;lemma_prep;2;1668606182;1668606189;6,719278097
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/lemma_prep-rand_3/;bank_cards_v2;1000;4;lemma_prep;3;1668606183;1668606189;6,823634863
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/lemma_prep-rand_4/;bank_cards_v2;1000;4;lemma_prep;4;1668606183;1668606190;6,686663151
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/lemma_prep-rand_5/;bank_cards_v2;1000;4;lemma_prep;5;1668606189;1668606196;6,846544981
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/simple_prep-rand_1/;bank_cards_v2;1000;4;simple_prep;1;1668606176;1668606183;6,70942688
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/simple_prep-rand_2/;bank_cards_v2;1000;4;simple_prep;2;1668606182;1668606189;6,80418992
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/simple_prep-rand_3/;bank_cards_v2;1000;4;simple_prep;3;1668606182;1668606189;6,709620953
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/simple_prep-rand_4/;bank_cards_v2;1000;4;simple_prep;4;1668606183;1668606190;6,827242136
../experiments/preprocessing/bank_cards_v2-size_1000-rand_4/simple_prep-rand_5/;bank_cards_v2;1000;4;simple_prep;5;1668606189;1668606196;6,759163857
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/filter_prep-rand_1/;bank_cards_v2;1000;5;filter_prep;1;1668606190;1668606197;6,853081942
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/filter_prep-rand_2/;bank_cards_v2;1000;5;filter_prep;2;1668606196;1668606202;6,671965122
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/filter_prep-rand_3/;bank_cards_v2;1000;5;filter_prep;3;1668606196;1668606203;6,680994987
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/filter_prep-rand_4/;bank_cards_v2;1000;5;filter_prep;4;1668606197;1668606203;6,701795101
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/filter_prep-rand_5/;bank_cards_v2;1000;5;filter_prep;5;1668606202;1668606209;6,797379017
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/lemma_prep-rand_1/;bank_cards_v2;1000;5;lemma_prep;1;1668606190;1668606196;6,743473053
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/lemma_prep-rand_2/;bank_cards_v2;1000;5;lemma_prep;2;1668606196;1668606202;6,735050201
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/lemma_prep-rand_3/;bank_cards_v2;1000;5;lemma_prep;3;1668606196;1668606203;6,785401106
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/lemma_prep-rand_4/;bank_cards_v2;1000;5;lemma_prep;4;1668606197;1668606203;6,647504091
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/lemma_prep-rand_5/;bank_cards_v2;1000;5;lemma_prep;5;1668606202;1668606209;6,597667933
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/simple_prep-rand_1/;bank_cards_v2;1000;5;simple_prep;1;1668606190;1668606196;6,739762068
